label,type,threshold_value,elapsed_s,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm,variant,vessel_size,vessel_std,structure_strength,ridge_threshold,ridge_iterations,auto_seed_rounds,auto_seed_max
default_soft_0.000,pipeline_soft,0.0,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
default_soft_0.020,pipeline_soft,0.02,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
default_soft_0.040,pipeline_soft,0.04,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
default_soft_0.060,pipeline_soft,0.06,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
default_soft_0.080,pipeline_soft,0.08,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
default_soft_0.100,pipeline_soft,0.1,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
default_soft_0.120,pipeline_soft,0.12,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
default_soft_0.140,pipeline_soft,0.14,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
default_soft_0.160,pipeline_soft,0.16,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
default_soft_0.180,pipeline_soft,0.18,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
default_soft_0.200,pipeline_soft,0.2,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
default_soft_0.220,pipeline_soft,0.22,0.00,24,27,11,11,0.3094,0.4249,0.1830,0.5163,0.2209,0.428,26.99,28.24,12.78,default,4,3,4,0.01,3,2,200
